Motif	Factor	Evidence	Curated
M00261_2.00	ceh-31	PBM	N
M00261_2.00	dsc-1	PBM	N
M00261_2.00	mec-3	PBM	N
M00261_2.00	tab-1	PBM	N
M00261_2.00	unc-4	PBM	N
M00261_2.00	lin-11	PBM	N
M00261_2.00	vab-15	PBM	N
M00261_2.00	ceh-17	PBM	N
M00261_2.00	ceh-2	PBM	N
M00261_2.00	lim-6	PBM	N
M00261_2.00	ceh-30	PBM	N
M00261_2.00	ceh-10	PBM	N
M00261_2.00	ceh-43	PBM	N
M00261_2.00	ceh-8	PBM	N
M00261_2.00	ceh-1	PBM	N
M00262_2.00	vab-15	PBM	N
M00262_2.00	ttx-3	PBM	N
M00262_2.00	lin-11	PBM	N
M00262_2.00	lim-6	PBM	N
M00262_2.00	ceh-17	PBM	N
M00262_2.00	unc-42	PBM	N
M00262_2.00	unc-4	PBM	N
M00262_2.00	ceh-16	PBM	N
M00262_2.00	ceh-10	PBM	N
M00262_2.00	dsc-1	PBM	N
M00262_2.00	ceh-8	PBM	N
M00262_2.00	ceh-43	PBM	N
M00262_2.00	ceh-14	PBM	N
M00262_2.00	ceh-30	PBM	N
M00262_2.00	mec-3	PBM	N
M00262_2.00	tab-1	PBM	N
M00262_2.00	ceh-1	PBM	N
M00262_2.00	ceh-2	PBM	N
M00262_2.00	ceh-12	PBM	N
M00262_2.00	ceh-31	PBM	N
M00262_2.00	alr-1	PBM	N
M00263_2.00	unc-4	PBM	N
M00263_2.00	ceh-1	PBM	N
M00263_2.00	ceh-10	PBM	N
M00263_2.00	ttx-3	PBM	N
M00263_2.00	ceh-17	PBM	N
M00263_2.00	unc-42	PBM	N
M00263_2.00	ceh-16	PBM	N
M00263_2.00	ceh-8	PBM	N
M00263_2.00	alr-1	PBM	N
M00263_2.00	ceh-14	PBM	N
M00264_2.00	alr-1	PBM	N
M00264_2.00	lin-11	PBM	N
M00264_2.00	unc-42	PBM	N
M00264_2.00	ceh-2	PBM	N
M00264_2.00	ceh-14	PBM	N
M00264_2.00	tab-1	PBM	N
M00264_2.00	ceh-8	PBM	N
M00264_2.00	ceh-16	PBM	N
M00264_2.00	lim-6	PBM	N
M00264_2.00	ttx-3	PBM	N
M00264_2.00	ceh-31	PBM	N
M00264_2.00	ceh-1	PBM	N
M00264_2.00	ceh-43	PBM	N
M00264_2.00	dsc-1	PBM	N
M00264_2.00	unc-4	PBM	N
M00264_2.00	ceh-10	PBM	N
M00264_2.00	vab-15	PBM	N
M00264_2.00	ceh-17	PBM	N
M00264_2.00	mec-3	PBM	N
M00264_2.00	ceh-12	PBM	N
M00264_2.00	ceh-30	PBM	N
M00265_2.00	unc-42	PBM	N
M00265_2.00	ceh-10	PBM	N
M00265_2.00	unc-4	PBM	N
M00265_2.00	ceh-17	PBM	N
M00265_2.00	ceh-8	PBM	N
M00265_2.00	alr-1	PBM	N
M00266_2.00	alr-1	PBM	N
M00266_2.00	ceh-16	PBM	N
M00266_2.00	ceh-2	PBM	N
M00266_2.00	tab-1	PBM	N
M00266_2.00	ttx-3	PBM	N
M00266_2.00	ceh-17	PBM	N
M00266_2.00	vab-15	PBM	N
M00266_2.00	ceh-14	PBM	N
M00266_2.00	ceh-8	PBM	N
M00266_2.00	unc-4	PBM	N
M00266_2.00	lim-6	PBM	N
M00266_2.00	ceh-10	PBM	N
M00266_2.00	dsc-1	PBM	N
M00266_2.00	lin-11	PBM	N
M00266_2.00	ceh-12	PBM	N
M00266_2.00	unc-42	PBM	N
M00266_2.00	ceh-43	PBM	N
M00266_2.00	ceh-1	PBM	N
M00266_2.00	mec-3	PBM	N
M00266_2.00	lim-7	PBM	N
M00267_2.00	dsc-1	PBM	N
M00267_2.00	unc-42	PBM	N
M00267_2.00	vab-15	PBM	N
M00267_2.00	ceh-12	PBM	N
M00267_2.00	ttx-3	PBM	N
M00267_2.00	lin-11	PBM	N
M00267_2.00	ceh-8	PBM	N
M00267_2.00	tab-1	PBM	N
M00267_2.00	ceh-16	PBM	N
M00267_2.00	ceh-1	PBM	N
M00267_2.00	unc-4	PBM	N
M00267_2.00	mec-3	PBM	N
M00267_2.00	ceh-14	PBM	N
M00267_2.00	ceh-17	PBM	N
M00267_2.00	lim-6	PBM	N
M00267_2.00	ceh-2	PBM	N
M00267_2.00	ceh-10	PBM	N
M00267_2.00	alr-1	PBM	N
M00268_2.00	ceh-8	PBM	N
M00268_2.00	ceh-1	PBM	N
M00268_2.00	ceh-17	PBM	N
M00268_2.00	ceh-2	PBM	N
M00268_2.00	unc-42	PBM	N
M00268_2.00	tab-1	PBM	N
M00268_2.00	ceh-16	PBM	N
M00268_2.00	mec-3	PBM	N
M00268_2.00	vab-15	PBM	N
M00268_2.00	ceh-12	PBM	N
M00268_2.00	ceh-10	PBM	N
M00268_2.00	lin-11	PBM	N
M00268_2.00	unc-4	PBM	N
M00268_2.00	dsc-1	PBM	N
M00268_2.00	ceh-43	PBM	N
M00268_2.00	ceh-14	PBM	N
M00268_2.00	lim-6	PBM	N
M00268_2.00	alr-1	PBM	N
M00268_2.00	ttx-3	PBM	N
M00269_2.00	ceh-10	PBM	N
M00269_2.00	ceh-14	PBM	N
M00269_2.00	ceh-12	PBM	N
M00269_2.00	dsc-1	PBM	N
M00269_2.00	lim-7	PBM	N
M00269_2.00	ceh-1	PBM	N
M00269_2.00	vab-15	PBM	N
M00269_2.00	lin-11	PBM	N
M00269_2.00	ceh-43	PBM	N
M00269_2.00	ceh-17	PBM	N
M00269_2.00	unc-42	PBM	N
M00269_2.00	lim-6	PBM	N
M00269_2.00	mec-3	PBM	N
M00269_2.00	unc-4	PBM	N
M00269_2.00	tab-1	PBM	N
M00269_2.00	ceh-8	PBM	N
M00269_2.00	ceh-16	PBM	N
M00269_2.00	ttx-3	PBM	N
M00269_2.00	alr-1	PBM	N
M00269_2.00	ceh-2	PBM	N
M00270_2.00	ttx-1	PBM	N
M00270_2.00	unc-30	PBM	N
M00270_2.00	ceh-45	PBM	N
M00271_2.00	unc-30	PBM	N
M00271_2.00	ttx-1	PBM	N
M00271_2.00	ceh-45	PBM	N
M00272_2.00	ttx-1	PBM	N
M00272_2.00	unc-30	PBM	N
M00272_2.00	ceh-45	PBM	N
M00273_2.00	ttx-1	PBM	N
M00273_2.00	unc-30	PBM	N
M00273_2.00	ceh-45	PBM	N
M00274_2.00	unc-30	PBM	N
M00274_2.00	ttx-1	PBM	N
M00274_2.00	ceh-45	PBM	N
M00275_2.00	unc-30	PBM	N
M00275_2.00	ceh-45	PBM	N
M00275_2.00	ttx-1	PBM	N
M00276_2.00	ceh-40	PBM	N
M00276_2.00	ceh-20	PBM	N
M00277_2.00	ceh-40	PBM	N
M00277_2.00	ceh-60	PBM	N
M00277_2.00	ceh-20	PBM	N
M00278_2.00	ceh-43	PBM	N
M00278_2.00	ceh-8	PBM	N
M00278_2.00	lin-11	PBM	N
M00278_2.00	ceh-16	PBM	N
M00278_2.00	vab-15	PBM	N
M00278_2.00	lim-7	PBM	N
M00278_2.00	ceh-12	PBM	N
M00278_2.00	ttx-3	PBM	N
M00278_2.00	mec-3	PBM	N
M00278_2.00	unc-4	PBM	N
M00278_2.00	ceh-17	PBM	N
M00278_2.00	dsc-1	PBM	N
M00278_2.00	ceh-10	PBM	N
M00278_2.00	ceh-14	PBM	N
M00278_2.00	tab-1	PBM	N
M00278_2.00	ceh-1	PBM	N
M00278_2.00	ceh-2	PBM	N
M00278_2.00	alr-1	PBM	N
M00278_2.00	unc-42	PBM	N
M00278_2.00	lim-6	PBM	N
M00279_2.00	dsc-1	PBM	N
M00279_2.00	ceh-8	PBM	N
M00279_2.00	lin-11	PBM	N
M00279_2.00	ceh-1	PBM	N
M00279_2.00	vab-15	PBM	N
M00279_2.00	ceh-2	PBM	N
M00279_2.00	ceh-10	PBM	N
M00279_2.00	ceh-12	PBM	N
M00279_2.00	ceh-43	PBM	N
M00279_2.00	mec-3	PBM	N
M00279_2.00	unc-4	PBM	N
M00279_2.00	lim-6	PBM	N
M00279_2.00	alr-1	PBM	N
M00279_2.00	tab-1	PBM	N
M00279_2.00	ceh-16	PBM	N
M00279_2.00	unc-42	PBM	N
M00279_2.00	ttx-3	PBM	N
M00279_2.00	ceh-14	PBM	N
M00279_2.00	ceh-17	PBM	N
M00280_2.00	alr-1	PBM	N
M00280_2.00	ceh-12	PBM	N
M00280_2.00	mec-3	PBM	N
M00280_2.00	tab-1	PBM	N
M00280_2.00	unc-4	PBM	N
M00280_2.00	dsc-1	PBM	N
M00280_2.00	ceh-1	PBM	N
M00280_2.00	ceh-17	PBM	N
M00280_2.00	ceh-14	PBM	N
M00280_2.00	ceh-2	PBM	N
M00280_2.00	lim-6	PBM	N
M00280_2.00	ceh-8	PBM	N
M00280_2.00	unc-42	PBM	N
M00280_2.00	vab-15	PBM	N
M00280_2.00	ceh-16	PBM	N
M00280_2.00	ceh-10	PBM	N
M00280_2.00	ttx-3	PBM	N
M00280_2.00	ceh-43	PBM	N
M00280_2.00	lin-11	PBM	N
M00281_2.00	unc-42	PBM	N
M00281_2.00	ceh-8	PBM	N
M00281_2.00	lim-6	PBM	N
M00281_2.00	ceh-14	PBM	N
M00281_2.00	ceh-17	PBM	N
M00281_2.00	ttx-3	PBM	N
M00281_2.00	ceh-1	PBM	N
M00281_2.00	ceh-43	PBM	N
M00281_2.00	ceh-10	PBM	N
M00281_2.00	unc-4	PBM	N
M00281_2.00	mec-3	PBM	N
M00281_2.00	lin-11	PBM	N
M00281_2.00	alr-1	PBM	N
M00281_2.00	ceh-2	PBM	N
M00281_2.00	vab-15	PBM	N
M00281_2.00	tab-1	PBM	N
M00281_2.00	ceh-12	PBM	N
M00281_2.00	ceh-16	PBM	N
M00281_2.00	dsc-1	PBM	N
M00282_2.00	ceh-1	PBM	N
M00282_2.00	alr-1	PBM	N
M00282_2.00	unc-42	PBM	N
M00282_2.00	ceh-12	PBM	N
M00282_2.00	lim-6	PBM	N
M00282_2.00	ttx-3	PBM	N
M00282_2.00	unc-4	PBM	N
M00282_2.00	ceh-16	PBM	N
M00282_2.00	ceh-2	PBM	N
M00282_2.00	ceh-14	PBM	N
M00282_2.00	ceh-10	PBM	N
M00282_2.00	ceh-8	PBM	N
M00282_2.00	tab-1	PBM	N
M00282_2.00	lin-11	PBM	N
M00282_2.00	vab-15	PBM	N
M00282_2.00	mec-3	PBM	N
M00282_2.00	ceh-17	PBM	N
M00282_2.00	dsc-1	PBM	N
M00282_2.00	ceh-43	PBM	N
M00283_2.00	ceh-9	PBM	N
M00283_2.00	mls-2	PBM	N
M00283_2.00	unc-42	PBM	N
M00283_2.00	tab-1	PBM	N
M00283_2.00	ceh-2	PBM	N
M00283_2.00	ceh-1	PBM	N
M00283_2.00	ceh-63	PBM	N
M00283_2.00	ceh-43	PBM	N
M00283_2.00	ceh-12	PBM	N
M00283_2.00	ceh-16	PBM	N
M00283_2.00	ceh-14	PBM	N
M00283_2.00	ceh-8	PBM	N
M00283_2.00	ceh-13	PBM	N
M00283_2.00	vab-15	PBM	N
M00283_2.00	ceh-31	PBM	N
M00283_2.00	ceh-30	PBM	N
M00283_2.00	lim-6	PBM	N
M00283_2.00	ceh-17	PBM	N
M00283_2.00	unc-4	PBM	N
M00283_2.00	ceh-10	PBM	N
M00283_2.00	ttx-3	PBM	N
M00283_2.00	alr-1	PBM	N
M00284_2.00	ceh-1	PBM	N
M00284_2.00	ceh-13	PBM	N
M00284_2.00	ceh-17	PBM	N
M00284_2.00	ceh-31	PBM	N
M00284_2.00	unc-4	PBM	N
M00284_2.00	mls-2	PBM	N
M00284_2.00	alr-1	PBM	N
M00284_2.00	ceh-16	PBM	N
M00284_2.00	unc-42	PBM	N
M00284_2.00	ceh-12	PBM	N
M00284_2.00	ceh-2	PBM	N
M00284_2.00	ceh-30	PBM	N
M00284_2.00	ttx-3	PBM	N
M00284_2.00	ceh-14	PBM	N
M00284_2.00	ceh-63	PBM	N
M00284_2.00	ceh-8	PBM	N
M00284_2.00	tab-1	PBM	N
M00284_2.00	ceh-10	PBM	N
M00284_2.00	ceh-9	PBM	N
M00284_2.00	lim-6	PBM	N
M00284_2.00	vab-15	PBM	N
M00284_2.00	ceh-43	PBM	N
M00285_2.00	ceh-17	PBM	N
M00285_2.00	unc-4	PBM	N
M00285_2.00	ceh-14	PBM	N
M00285_2.00	mec-3	PBM	N
M00285_2.00	ceh-16	PBM	N
M00285_2.00	ceh-8	PBM	N
M00285_2.00	tab-1	PBM	N
M00285_2.00	ceh-12	PBM	N
M00285_2.00	ceh-30	PBM	N
M00285_2.00	lim-6	PBM	N
M00285_2.00	ceh-1	PBM	N
M00285_2.00	alr-1	PBM	N
M00285_2.00	ceh-10	PBM	N
M00285_2.00	dsc-1	PBM	N
M00285_2.00	ceh-2	PBM	N
M00285_2.00	ceh-43	PBM	N
M00285_2.00	vab-15	PBM	N
M00285_2.00	ttx-3	PBM	N
M00285_2.00	lin-11	PBM	N
M00285_2.00	ceh-31	PBM	N
M00285_2.00	unc-42	PBM	N
