Motif	Factor	Evidence	Curated
M00864_2.00	AT1G52150	PBM	Y
M00864_2.00	AT4G32880	PBM	N
M00864_2.00	AT5G60690	PBM	N
M00865_2.00	AT5G15150	PBM	N
M00865_2.00	AT3G61890	PBM	Y
M00865_2.00	AT5G53980	PBM	N
M00866_2.00	AT1G20700	PBM	N
M00866_2.00	AT3G18010	PBM	N
M00866_2.00	AT4G35550	PBM	Y
M00866_2.00	AT1G20710	PBM	N
M00866_2.00	AT2G28610	PBM	N
M00866_2.00	AT2G01500	PBM	N
M00866_2.00	AT3G11260	PBM	N
M00867_2.00	AT1G27045	PBM	N
M00867_2.00	AT1G26960	PBM	N
M00867_2.00	AT5G53980	PBM	N
M00867_2.00	AT5G15150	PBM	N
M00867_2.00	AT5G03790	PBM	Y
M00868_2.00	AT3G63350	PBM	N
M00868_2.00	AT5G54070	PBM	N
M00868_2.00	AT3G51910	PBM	N
M00868_2.00	AT3G24520	PBM	Y
M00868_2.00	AT5G45710	PBM	N
M00868_2.00	AT2G26150	PBM	N
M00868_2.00	AT4G13980	PBM	N
M00868_2.00	AT1G67970	PBM	N
M00868_2.00	AT1G32330	PBM	N
M00868_2.00	AT4G17750	PBM	N
M00868_2.00	AT4G36990	PBM	N
M00868_2.00	AT5G03720	PBM	N
M00869_2.00	AT3G63350	PBM	N
M00869_2.00	AT5G03720	PBM	N
M00869_2.00	AT4G17750	PBM	N
M00869_2.00	AT4G13980	PBM	N
M00869_2.00	AT4G36990	PBM	N
M00869_2.00	AT3G51910	PBM	N
M00869_2.00	AT5G54070	PBM	N
M00869_2.00	AT2G26150	PBM	N
M00869_2.00	AT5G62020	PBM	Y
M00869_2.00	AT1G67970	PBM	N
M00869_2.00	AT1G32330	PBM	N
M00869_2.00	AT5G45710	PBM	N
M00870_2.00	AT2G42430	PBM	Y
M00870_2.00	AT3G03760	PBM	N
M00870_2.00	AT3G58190	PBM	N
M00871_2.00	AT4G33450	PBM	N
M00871_2.00	AT1G26780	PBM	N
M00871_2.00	AT1G17950	PBM	Y
M00871_2.00	AT1G73410	PBM	N
M00872_2.00	AT1G67710	PBM	Y
M00873_2.00	AT2G01760	PBM	Y
M00873_2.00	AT2G40970	PBM	N
M00873_2.00	AT5G59570	PBM	N
