Motif	Factor	Evidence	Curated
M00154_2.00	e2f5	PBM	N
M00154_2.00	e2f3	PBM	N
M00154_2.00	e2f6	PBM	N
M00154_2.00	XP_002932903	PBM	N
M00155_2.00	spib	PBM	N
M00155_2.00	spi1	PBM	N
M00155_2.00	spic	PBM	N
M00156_2.00	elf3	PBM	N
M00156_2.00	elf5l	PBM	N
M00156_2.00	elf2	PBM	N
M00156_2.00	etv6	PBM	N
M00156_2.00	ehf	PBM	N
M00156_2.00	elf1	PBM	N
M00157_2.00	XP_002943189	PBM	N
M00157_2.00	fev	PBM	N
M00157_2.00	etv1	PBM	N
M00157_2.00	elk4	PBM	N
M00157_2.00	gabpa	PBM	N
M00157_2.00	elf2	PBM	N
M00157_2.00	elk3	PBM	N
M00157_2.00	elf1	PBM	N
M00157_2.00	erf	PBM	N
M00157_2.00	ets1	PBM	N
M00157_2.00	ets2	PBM	N
M00157_2.00	loc390937	PBM	N
M00157_2.00	elk1	PBM	N
M00157_2.00	etv2	PBM	N
M00157_2.00	fli1	PBM	N
M00157_2.00	XP_002937640	PBM	N
M00157_2.00	etv3	PBM	N
M00157_2.00	erg	PBM	N
M00158_2.00	etv6	PBM	N
M00158_2.00	elf1	PBM	N
M00158_2.00	elf3	PBM	N
M00158_2.00	elf2	PBM	N
M00158_2.00	ehf	PBM	N
M00159_2.00	elf2	PBM	N
M00159_2.00	elf1	PBM	N
M00159_2.00	spdef	PBM	N
M00160_2.00	foxd3	PBM	N
M00160_2.00	foxj2	PBM	N
M00160_2.00	foxi4.1	PBM	N
M00160_2.00	foxk2	PBM	N
M00160_2.00	foxj1	PBM	N
M00160_2.00	foxj3	PBM	N
M00160_2.00	foxg1	PBM	N
M00160_2.00	foxd4l1.2	PBM	N
M00160_2.00	foxd2	PBM	N
M00160_2.00	foxd4l1.1	PBM	N
M00160_2.00	foxc1	PBM	N
M00160_2.00	foxi2	PBM	N
M00160_2.00	foxp4	PBM	N
M00160_2.00	CAH64539	PBM	N
M00160_2.00	foxd1	PBM	N
M00160_2.00	AAT73696	PBM	N
M00160_2.00	foxi1	PBM	N
M00161_2.00	foxj1	PBM	N
M00161_2.00	foxj1.2	PBM	N
M00162_2.00	foxa1	PBM	N
M00162_2.00	foxa2	PBM	N
M00162_2.00	foxb1	PBM	N
M00162_2.00	foxa4	PBM	N
M00163_2.00	foxi4.2	PBM	N
M00163_2.00	foxi4.1	PBM	N
M00163_2.00	foxj3	PBM	N
M00163_2.00	foxj2	PBM	N
M00163_2.00	foxk2	PBM	N
M00163_2.00	foxi1	PBM	N
M00164_2.00	wi2-2373i1.2	PBM	N
M00164_2.00	foxd4l1.2	PBM	N
M00164_2.00	foxi2	PBM	N
M00164_2.00	foxl1	PBM	N
M00164_2.00	XP_002936059	PBM	N
M00164_2.00	foxi1	PBM	N
