Motif	Factor	Evidence	Curated
M00199_2.00	GE20029	PBM	N
M00199_2.00	GE20028	PBM	N
M00199_2.00	GE18794	PBM	N
M00199_2.00	GE10918	PBM	N
M00199_2.00	GE20027	PBM	N
M00199_2.00	GE12330	PBM	N
M00200_2.00	GE14535	PBM	N
M00201_2.00	GE20028	PBM	N
M00201_2.00	GE18794	PBM	N
M00201_2.00	GE10918	PBM	N
M00201_2.00	GE20027	PBM	N
M00201_2.00	GE14354	PBM	N
M00201_2.00	GE20029	PBM	N
M00201_2.00	GE14503	PBM	N
M00201_2.00	GE12330	PBM	N
M00202_2.00	GE14503	PBM	N
M00202_2.00	GE14354	PBM	N
M00202_2.00	GE12330	PBM	N
M00202_2.00	GE18794	PBM	N
M00202_2.00	GE20028	PBM	N
M00202_2.00	GE10918	PBM	N
M00202_2.00	GE20027	PBM	N
M00202_2.00	GE20029	PBM	N
M00203_2.00	GE12330	PBM	N
M00203_2.00	GE20029	PBM	N
M00203_2.00	GE18794	PBM	N
M00203_2.00	GE20028	PBM	N
M00203_2.00	GE10918	PBM	N
M00203_2.00	GE20027	PBM	N
M00203_2.00	GE14503	PBM	N
M00203_2.00	GE14354	PBM	N
M00204_2.00	GE18794	PBM	N
M00204_2.00	GE20029	PBM	N
M00204_2.00	GE10918	PBM	N
M00204_2.00	GE14503	PBM	N
M00204_2.00	GE20027	PBM	N
M00204_2.00	GE20028	PBM	N
M00204_2.00	GE14354	PBM	N
M00204_2.00	GE12330	PBM	N
M00205_2.00	GE18794	PBM	N
M00205_2.00	GE20028	PBM	N
M00205_2.00	GE10918	PBM	N
M00205_2.00	GE14503	PBM	N
M00205_2.00	GE12330	PBM	N
M00205_2.00	GE14354	PBM	N
M00205_2.00	GE20029	PBM	N
M00205_2.00	GE20027	PBM	N
M00206_2.00	GE20027	PBM	N
M00206_2.00	GE10918	PBM	N
M00206_2.00	GE20028	PBM	N
M00206_2.00	GE14354	PBM	N
M00206_2.00	GE14503	PBM	N
M00206_2.00	GE20029	PBM	N
M00206_2.00	GE12330	PBM	N
M00206_2.00	GE18794	PBM	N
M00207_2.00	GE14535	PBM	N
M00208_2.00	GE20027	PBM	N
M00208_2.00	GE10918	PBM	N
M00208_2.00	GE14354	PBM	N
M00208_2.00	GE12330	PBM	N
M00208_2.00	GE20028	PBM	N
M00208_2.00	GE18794	PBM	N
M00208_2.00	GE14503	PBM	N
M00208_2.00	GE20029	PBM	N
M00209_2.00	GE14503	PBM	N
M00209_2.00	GE14354	PBM	N
M00209_2.00	GE12330	PBM	N
M00209_2.00	GE18794	PBM	N
M00209_2.00	GE20029	PBM	N
M00209_2.00	GE20028	PBM	N
M00209_2.00	GE10918	PBM	N
M00209_2.00	GE20027	PBM	N
M00210_2.00	GE14354	PBM	N
M00210_2.00	GE20028	PBM	N
M00210_2.00	GE20027	PBM	N
M00210_2.00	GE14503	PBM	N
M00210_2.00	GE12330	PBM	N
M00210_2.00	GE18794	PBM	N
M00210_2.00	GE20029	PBM	N
M00210_2.00	GE10918	PBM	N
M00211_2.00	GE10918	PBM	N
M00211_2.00	GE20027	PBM	N
M00211_2.00	GE14503	PBM	N
M00211_2.00	GE12330	PBM	N
M00211_2.00	GE18794	PBM	N
M00211_2.00	GE14354	PBM	N
M00211_2.00	GE20029	PBM	N
M00211_2.00	GE20028	PBM	N
M00212_2.00	GE20028	PBM	N
